ID,TimeStamp,CountryCode,TweetType,Size,RetweetCount,LikeCount
1128789620609519616,Wed May 15 23:29:52 WEST 2019,US,ORIGINAL,181,0,0
1128779167045169153,Wed May 15 22:48:19 WEST 2019,NG,REPLY,275,0,1
1128787275138002944,Wed May 15 23:20:32 WEST 2019,US,ORIGINAL,303,0,0
1131265692089511936,Wed May 22 19:28:53 WEST 2019,US,REPLY,160,1,1
1131254946710532096,Wed May 22 18:46:11 WEST 2019,US,ORIGINAL,304,2,0
1131237067961380866,Wed May 22 17:35:09 WEST 2019,GB,ORIGINAL,287,1,1
1131229918585450496,Wed May 22 17:06:44 WEST 2019,US,ORIGINAL,140,1,3
1131277223355441152,Wed May 22 20:14:42 WEST 2019,IT,ORIGINAL,198,0,0
1131274198654083073,Wed May 22 20:02:41 WEST 2019,US,ORIGINAL,237,0,0
1131271709221380096,Wed May 22 19:52:48 WEST 2019,PE,ORIGINAL,119,0,0
1131267844619083777,Wed May 22 19:37:26 WEST 2019,TW,ORIGINAL,100,0,0
1131265584363200515,Wed May 22 19:28:27 WEST 2019,CA,ORIGINAL,161,0,0
1131264717744463872,Wed May 22 19:25:01 WEST 2019,US,ORIGINAL,241,1,0
1131264168781332480,Wed May 22 19:22:50 WEST 2019,US,ORIGINAL,241,2,1
1131263799045099522,Wed May 22 19:21:22 WEST 2019,US,ORIGINAL,235,2,1
1131262311010902022,Wed May 22 19:15:27 WEST 2019,US,ORIGINAL,241,0,1
1131261963072360448,Wed May 22 19:14:04 WEST 2019,US,ORIGINAL,235,0,0
1131261646083694592,Wed May 22 19:12:48 WEST 2019,US,ORIGINAL,235,0,0
1131276836682588161,Wed May 22 20:13:10 WEST 2019,EC,ORIGINAL,205,0,0
1131274438601781249,Wed May 22 20:03:38 WEST 2019,US,ORIGINAL,208,0,1
1131272639564189696,Wed May 22 19:56:29 WEST 2019,US,ORIGINAL,266,0,1
1131272384449847296,Wed May 22 19:55:29 WEST 2019,US,ORIGINAL,104,0,2
1131272279499902978,Wed May 22 19:55:04 WEST 2019,US,ORIGINAL,184,0,1
1131272003049017344,Wed May 22 19:53:58 WEST 2019,US,ORIGINAL,148,1,1
1131270083848888321,Wed May 22 19:46:20 WEST 2019,TR,ORIGINAL,250,1,2
1131274135445811200,Wed May 22 20:02:26 WEST 2019,US,ORIGINAL,148,0,6
1131272109575921664,Wed May 22 19:54:23 WEST 2019,US,ORIGINAL,168,0,1
1131271715730862082,Wed May 22 19:52:49 WEST 2019,US,ORIGINAL,236,1,3
1131260432231141376,Wed May 22 19:07:59 WEST 2019,US,ORIGINAL,207,0,1
1131259907737448448,Wed May 22 19:05:54 WEST 2019,US,ORIGINAL,74,0,0
1131256465996623872,Wed May 22 18:52:13 WEST 2019,US,ORIGINAL,287,0,0
1131256338317602817,Wed May 22 18:51:43 WEST 2019,US,ORIGINAL,122,0,0
1131255536341671936,Wed May 22 18:48:32 WEST 2019,DE,ORIGINAL,279,2,4
1131254677155340288,Wed May 22 18:45:07 WEST 2019,TT,ORIGINAL,286,0,0
